Question,Labels,Annotation Type
بعاني من فترة بتشتت في الافكار وسواس قهري واكتئاب زهبت للدكتور من قبل سنتين ووصف لي دواء لاروجين ومعاه حبوب للاكتئاب بس وقفت العلاج ورجعت الأعراض من اول,['No'],Pseudo-labeling
هل تدني المستوى الدراسي المفاجئ و عدم التواصل مع المجتمع و العزله و الحزن و البكاء المستمر من اعراض الاكتئاب؟؟,['No'],Pseudo-labeling
سلام عليكم لدى وسواس قهرى بالشذوذ انا ارفض هذه الاشياء ومستحيل ان افعلها فالواقع لكن الافكار هذه اذ اتتنى فجاه تعذبنى واشعر بقلق شديد ولاتأكد انى سليم اشاهد فيلم لواط ولا يحدث اى اثاره ابدا عكس الفتيات يحدث اثاره قويه,['No'],Pseudo-labeling
اهلا دكتور انا عند النوم تزداد دقات قلبي و لا استطيع النوم كما احس نفسي دائما حزينة و لا استمتع حتى بالاشياء التي احبها و احب العزلة ما هي مشكلتي و ما الحل ارجوك ساعدني دكتور,['No'],Pseudo-labeling
والله تعبت من الارق ايش سببه وانا ماعندي اي توتر،وحللت دال طلع طبيعي ٣٧ والحديد طبيعي،ايش سبب الارق صار له فتره ملازمني تعبت تعبت تعبت كثيرا،انام ساعات قليله فقط،واخلد للفراش واقعد من٤ الى٦ ساعات ما انام تعبت وش احلل وش اسوي،ما اشرب كافيين ولا منبهات ابدا,['No'],Pseudo-labeling
انا بقيت بكره نفسي جدا بسبب شكلي انا شايف نفسي احلي بس لما ببص في المرايه بحس بخنقة ومش قادر أتقبل نفسي أرجو الإفادة ومش هقدر هروح لدكتور بسبب الظروف المادية,['No'],Pseudo-labeling
ابني يبلغ 4 اشهر و مرخرا تراودني افكار كايذاء طفلي او قتله انا ادرك اني لن افعل تلك الافكار لكنها تستحود علي و اشعر اني ساتلذذ اذا طبقتها و عندما اتجاهلها ارتعش و يبدا قلبي بالخفقان و احاول تغيير المكان و لكن سرعان ما تعود لي تلك الافكار حتى اشعر اني ساجن فهل هذا وسواس قهري ام اكتئاب بعد الولادة,['No'],Pseudo-labeling
كيف لي السيطرة على ألم المعدة عند حالات الغضب وتوتر والقلق ،لأن يكون هناك ألم وفقدان شهيه,['No'],Pseudo-labeling
كنت اتناول ادوية نفسية وكنت اعاني من كثرة التفكير والقلق.. هل مع الوقت يمكن ان تتحسن الذاكرة وتعود لقوتها ام لا,['No'],Pseudo-labeling
هل اعراض اختلال آنية تتغير مع الوسواس القهري و مع الشعور بأحاسيس متكررة و بالضياع الفكري ارجو الإجابة و هل القلق سبب كل ذلك. شكرا لكم,['No'],Pseudo-labeling
عندما اخرج من منزلي احس بمراقبة ناس لي و قلق شديد علما أنني إنطوائي و لا تقولون لي اذهب الى طبيب اريد نصائحكم و طرق,['No'],Pseudo-labeling
حصلت لي مواقف من اقرب الناس لي وكنت أثق فيهم كثيراً بعدها اعاني من تفكير مستمر وقلق واكتئاب وأفضل الجلوس لوحدي اغلب الساعات واعصب بسرعه وأصاب بغثيان احيانا وهبوط ضغط,['Social|Relationship'],Pseudo-labeling
تم تشخيصي بمرض الاكتئاب والرهاب الاجتماعي والوسواس القهري اتناول عقار سيرترالين لمدة 5 أشهر على جرعة 100 ولم أشعر الا بتحسن بسيط فهل استمر في الدواء؟ وهل يمكن زيادة الجرعه,['No'],Pseudo-labeling
السلا عليكم دكتور انا دايما لمن ابي انام او اغمض عيني اسمع اصوات براسي نفس صراخ وبجي و وايد ناس ينادون اسمي بدون سبب,['No'],Pseudo-labeling
اخذت سيبرالكس لعام و توقفت منذ اسبوع و شعرت في موقف في الأسبوع هذا بتأثر على نفسيتي وذهبت للطبيبة قالت خذي المضاد ٦ شهور ف اعلمتها أنني فيما عدا هذا الموقف بخير ف قالت اختبري نفسك شهر لو الحال كويس توقفي ولو لا خذيه ٦ شهور فهل هذا بسبب التوقف فجأة,['No'],Pseudo-labeling
عندي افكار بتؤمرني ان اقتل اهلي بسكينة او ارمي نفسي من الشباك او اقتل نفسي بأي شكل من الانتحار من غير سبب لدرجة انها وصلت ان اقتل اهلي عشان اخلص من توتري وبعد كده اقوم انتحر ارجوكو عرفوني هو انا مجنونه ولا اي,['No'],Pseudo-labeling
حينما يكون لي مهمة مثلا أريد أن أسافر إلى بلد أو أحضر حفلة أو إلى الصلاة أو أي عمل مهم يأتين خوف وهلع حتى يفقدني تركيزي ويسبب لي الاضطرابات في البطن وفي مسالك البولية ولا أزال في ذلك إلى وقت طويل,['No'],Pseudo-labeling
"اعاني من الرهاب الاجتماعي والقلق
كيف يمكنني معالجة ذلك دون الذهاب الى طبيب نفسي،. هل يوجد دواء يمكن اخذه بدون وصفة طبية من طبيب؟",['No'],Pseudo-labeling
لدي قلق واكتآب وعدم القدره على النوم وصف لي الطبيب ميزارجن هل استطيع ان اخذه وانا اريد ان اعالج اسناني,['No'],Pseudo-labeling
السلام عليكم ورحمه الله وبركاته بقالي فتره طويله اووووي عندي مشكله أما براكب وسائل مواصلات بحس اني تعبان جدا وتوتر جامد وببقا عايز انزل من السيارة.... ثانيا وانا بصلي واسجد بحس اني عايز اطلع من الصلاة عالطوال ...,['No'],Pseudo-labeling
لدي زوجه لاتستطيع نسيان الماضي وكل ما يحدث عباره عن ماضي متكرر لا تستطيع نسيان الذي مضى ولا يمكنها العيش للحاضر والمستقبل بل نعود للماضي بكل ما فات منه هل يوجد حل لهذا الامر وكيف استطيع ان انسيها الماضي مع انه لم يتبقه شيئ لم افعله لجعلها تنسى ولاكن باتت كل محاولاتي بلفشل,['Social|Relationship'],Pseudo-labeling
اعاني من وسواس النضافه واكرر غسل يدي لمرات عديده ،وكانت لدي وسواس أخرى قبل أربع سنوات لكني تخلصت منهاء ،ولكن وسواس النضافه لم استطع التخلص منه.والبيئه والحاله الماديه لا تسمح لي بمراجعة طبيب.,['No'],Pseudo-labeling
احس ان امي تراقبني حتى وفي قرارة نفسي عارفه انه هي ما تراقبني بس ذا الشعور مو راضي يروح احس انها تراقبني بأي طريقه ممكنه والان هي مسافره ولكن الشعور بعدم الراحه والمراقبه مزال,['Social|Relationship'],Pseudo-labeling
انا شاب عمري 27 سنة احمل شهادة جامعة متزوج ولدي طفل اشعر في الراحة عندما اتخيل انني اقوم بتعذيب و قتل بابشع الطرق شخص ما لا على التعيين مع العلم لست ساديا,['Social|Relationship'],Pseudo-labeling
السلام عليكم لدي وسواس قهري يمنعني من تعلم اللغات الاجنبية خاصة الانجليزية رغم قدراتي الهائلة يصور لي هذا الوسواس على انني لا اقدر على الاستيعاب والحفظ وانني فاشل في اللغات وان طريق التعلم طويلة جدا فاصرف نفسي على تعلم اللغات .ماهو الحل بارك الله فيكم,['No'],Pseudo-labeling
من فترة 3 سنوات تعالجت من نوبات الهلع بالسيرترالين اصبحت تأتيني بفترات متباعدة جدا والان اصبت بفيروس كورونا واصبحت تتكرر عندي كثيرا ل5 مرات او 6 باليوم ماالدواء الذي يمكن ان استخدمه غير السيرترالين لأن أول استخدامه يسبب اضطرابات معدية مزعجة لدي,['No'],Pseudo-labeling
شو الفرق بين الشعور بالوحدة وبين مرض العزلة الاجتماعية؟ لانو صار هاد الشعور يأثر على حياتي حتى مع اعز الناس الي وصار يسبب مشاكل كتير، هل بحتاج اروح على دكتور او شعور مؤقت؟,['Social|Relationship'],Pseudo-labeling
عندى تقعر صدرى بسيط واريد الحصول على جهاز تقويم (فاكيوم بيل ) او جرس الفراغ ولا اعرف كيف أجده . من فضلك ارديد الوصول الى هذا الجهاز للحصول علية (عنوان مثلا) بسبب حالتى النفسيه بتسوء وعدم ثقه فى نفسى . اريد فقط المساعده فى ذلك,['No'],Pseudo-labeling
سؤالي هو هل ضيق التنفس نفسي المنشأ من الممكن أن يسبب الاختناق للشخص إذا كان سليما بدنيا؟,['No'],Pseudo-labeling
اختي تحلم باشياء ولما تصحى تقول هذا كان واقعي وشفته قدام عيني وتتهم الجميع وصارت ماتهتم فنفسها ولا في عيالها,['Social|Relationship'],Pseudo-labeling
العياط المستمر كره الزوج والمعيشة الزوجيه كره الحياه,['No'],Pseudo-labeling
هل يمكن ان يموت الشخص عند تعرضه لفوبيا الاصوات تصل الي 20 مرة يوميا مع خفقان قلب تصل لثواني ، هل يمكن الموت من هلع الاصوات علي المدي البعيد ؟ بارك الله فيكم,['No'],Pseudo-labeling
في كل الاوقات اكون سيء المزاج ولا اريد ان اتحدث مع اي شخص ، منعزل ، لا احب التحدث مع اهلي ، العصبية المفرطه ، واهم الاعراض واصعبها لدي هي انعدام الشعور بالعالم من حولي …,['Social|Relationship'],Pseudo-labeling
سلام انا اعاني من الاكتءاب مند سنة و قام الطبيب بتغير الدواء اكتر من مرة و في الاخير تناولت دواء فليوكستين لمدة 6اشهر تم توقفت عليه الآن عندي شهر لم اخد الدواء ولكن انا اعاني من تغير المزاج فجأة و الصداع و قلة النوم و اشعر بأني غير طبيعي مادا افعل؟؟؟,['No'],Pseudo-labeling
السلام عليكم انا كنت اعانى من مشاكل نفسية والان تحسنت جداا وانا اخذ دواء منذ حوالى سنة ونصف ولكن انا الان الدوا اصبح يسبب لى صداع ودوخة ونوم كتيير وانا لما اوقفه يوم برتاح فى اليوم ده ولما اخده تانى بتعب والدكتورة كل شوية تغيير فيه,['No'],Pseudo-labeling
وصلت لوضع خطير جداً من التفكير ، مايقارب سنة كاملة وانا في فراغ ومشغل نفسي في التفكير ٢٤ ساعة على اشياء بسيطة ، حاليا لا ارى شي ب لذة، واواجة صعوبة في السيطرة على العقل الباطن,['No'],Pseudo-labeling
اعاني من سماع صوت صراخ قوي اثناء نومي و استيقظ خائفة و انا بال 18 من عمري,['No'],Pseudo-labeling
اعاني من تركيز شديد في الناس من حولي ولا أنفك منه اي شخص التقي به اركز فيه أشعر أن عقلي تبرمج على ذلك فعندما اسير في الطريق وتقابل شخص يتبرمج عقلي على التركيز شديد فيه وعندما اجلس في الحافله اركز بشده ولا ادري لما التركيز حتى كثير من الناس يشعرون بهذا التركيز وينظرون الي على أنني أريد القيام بأمر,['Social|Relationship'],Pseudo-labeling
اعاني من الارق والاكتئاب والافكار المتسلطة في قتل شخص عزيز عليا بسكينة مجبرة علي هذا الفعل غظب عني,['Social|Relationship'],Pseudo-labeling
"لدي فوبيا من طبيب الاسنان اريد دواء مهديء للاعصاب فعال جدا لأتمكن من الذهاب لطبيب الاسنان
هل من الممكن اخذ دواء زانكس من غير وصفة طبيه من الصيدلية",['No'],Pseudo-labeling
احيان يكون مافيني شي بس فجأه اكون خايفه من ولاشي ويجيني خفقان وضيقه واحس الدنيا تدور فيني احس بموت واكون بردانه بالذات اطرافي تكون باارده وارجف طول الوقت ودايم تتكرر ذي لاشياء,['No'],Pseudo-labeling
عندي الم بالصدر هو كذا زي السكين ما معه خفقان ابدا الا اذا كنت خايفه ومتوتره دايم يجيني يوم اخاف او احزن او اتوتر بس ما يقل الخوف يروح ولما يزيد الخوف يزيد زي كذا هو من سنه بذي السنه رحت سويت اشاعة صدر و4 مرات تخطيط قلب والاطباء كلهم قالو هلع بس مره خايفه للحين ان مايكون يبين المشكله بالتخطيط وا,['No'],Pseudo-labeling
السلام اشعر بضيقه ب الصدر خفيفه واشعر بغمته بالقلب واشعر بالقلق والتوتر وعند التنهيد الشهيق والزفير احس بصعوبه شوي سمعت انو هذا اكتئاب بسيط ماهي الشي المناسب او العلاج المناسب لتخفيف هاذي الحاله رغم اني استخدم دوجماتيل ولكن احس باقي الاعراض موجوده شوي,['No'],Pseudo-labeling
الاعراض : فيها توتر تقول ان نظرات الناس لها وتقول انها لا تستطيع التوقف عن التفكير في كل شي واذا فتحت الجوال تقول لماذا اليوم المقاطع فيها نفس الالوان والعبارات انا خايفه يكون,['Social|Relationship'],Pseudo-labeling
السلام عليكم، انا اعاني من اكتئاب شديد و يصاحبه اوجاع في الراس و اعصاب الجسم عامة، كنت اخد مضاد اكتئاب ، حاليا انا اخد جرعات قليلة لحتى اقطع تناوله، سؤالي هو هل يمكنني الحمل ؟! خاصة و انا ارغب في ذلك,['No'],Pseudo-labeling
"افكار انتحاريه واخرى معاكسه لذلك تريد التغيير
واشعر بتشتت في تفكيري ولاادري ايهم اختار",['No'],Pseudo-labeling
اشعر ان الجميع افضل مني واشعر بكسل وخمول وملل واشعر اني سيئه جدا وعديمة الانسانيه افكار غير جيده تدور ببالي,['No'],Pseudo-labeling
اشعر انني منفصلة عن جسمي و انني لست الشخص الحقيقي و منفصلة عن الواقع و اشعر انني عمياء لا استطيع التركيز في اي شيء امامي حينما امشي لا اتدكر كيف وصلت الى هناك,['No'],Pseudo-labeling
"والدي ٦٦ سنةلايعمل واصبح يصرخ ويسب من دون سبب
يتذكر ملابسه القديمةمن ٢٠ سنةويطالب امي باحضراهاله والايبدافي الصراخ والشتم والسب
ينسي كثيرا لايتذكر زيارةشخص له ويستمر بالسؤال لمالاياتي اليه هذاالشخص مع انه كان عنده منذ قليل
الايهتم بايذاء الناس ويرمي اي شيء من شباك المنزل دون مبالاة",['No'],Pseudo-labeling
احتاج توضيح اكثر لاكتئاب ثنائي القطب وهل فيه مده محدده بين الهوس والاكتئاب وكيف يشعر المريض وامثله عليها وهل هو مزمن او له علاج قطعي,['No'],Pseudo-labeling
"انا شاب من فترة مررت بحادثة صادمة ونجوت باعجوبة , تركت اثر كبير في نفسي وتغيرت حياتي كلها بسببها , من وقتها كل من حولي يصفني باني كئيب ونظرتي سلبية , ليس لدي رغبة في تغيير شيئ او فعل المزيد , اشعر باني اريد الاستمتاع بحياتي اكبر قدر ممكن
+انا انطوائي منذ الصغر ليس لدي اي صديق سوى افراد عائلتي",['Social|Relationship'],Pseudo-labeling
اغاني من الرهاب الاجتماعي من قلق وخوف من مواجهة الناس والتكلم أمام الجمهور. وصف الطبيب علاج زولام إذا اخذ العلاج بالأسبوع مره او مرتين بجرعات منخفضة هل هناك احتمال الإدمان؟؟؟,['No'],Pseudo-labeling
لازم احط جوالي جنب راسي ولا بمرض لازم احط الحذاء بطريقه كذا ( ولازم تضبط )ولا يمكن اموت لازم اقعد كذا ولا بيصير لي شي وش الحل ؟ وهل اذا كان مرض نفسي وش المرض؟ وش العلاج؟,['No'],Pseudo-labeling
تقلبات مزاجيه مرهقه منذ سنين، الجأ للنوم مما تسببه لي من ارهاق، نشاط وحماس ثم احباط ورغبه بالموت، تم تشخيصي مسبقا بالاكتئاب ولكن احدهم قال بانها تشبه اعراض ثنائي القطب، صحيح؟,['No'],Pseudo-labeling
نفسيتي تعبانه جداً انا سني 18 سنه وداخل على ثانويه عامه ومش عارف افرق بين الشغل والدراسه لدرجة وصلتني اني اقعد لوحدي لفترات طويله واشرب سجاير ونسيت كل المناهج الي زاكرتها ومش عارف ازاكر ولا اعمل اي حاجه,['No'],Pseudo-labeling
التحدث مع النفس بكثره،احلام اليقظه اثناء اداء المهام اليوميه(مثلًا الطبخ وتخيل اشخاص موجودين بجانبك) سماع الموسيقى والانغماس بانك في مكان اخر مع اشخاص اخرين،نسيان الواقع احيانا,['No'],Pseudo-labeling
اعاني من انتكاسة اكتئاب و نوبات الهلع للمرة الثانية رغم اني لازلت اتناول مضاد الإكتئاب منذ 4 اشهر هل اتوقف عن تناولها ام اواصل؟ رغم اني أشعر بالإحباط و استحالة الشفاء,['No'],Pseudo-labeling
عندي فكرة رعب من انه طرف الاخر يتركني و مخوفتني و مقلقتني لدرجه انا انسحب من العلاقة او صداقة ، و عندي ايذاء نفس ، افكار انتحاريه ، و تقلبات مزاجيه لدرجه اهلي ملاحظينها و ed.,['Social|Relationship'],Pseudo-labeling
انا شخص لدي توتر عصبي شديد للغاية وسواس ولكن لاحظت انه اثر على ضربات القلب لدي وعندما انسى اني متوتر او مضغوط يختفي لكن عندما اتذكره ياتي مره اخرى ..,['No'],Pseudo-labeling
بدت مشكلتي من قبل سنه كانت بطني قبض من جد ولاكن بعدين صارت احسن بس انا صرت اخاف واتجنب التبرز لـدرجه ماتبرز لاسبوع او اسبوعين.مدري وش سبب الخوف,['No'],Pseudo-labeling
انا يا دكتور اعاني من توتر فجاه وبس امسك يدي واتوتر حتى وانا اصلي بس امسك يدي واحس كان فيه شى بيصير شعور مدري كيف واذا جيت اوقف التوازن عندي كاني بطيح وفيني خمول مره وش سببه؟,['No'],Pseudo-labeling
"انا عندي اكتئاب. والدكتور وصفلي دواء انافرانيل
السؤال هو هل اخذه قبل النوم ولا عادي في اي وقت",['No'],Pseudo-labeling
انا اعني من نبض وكتلة في الحنجره لكن عندما جاء لي كان لدي ارتجاع مرئ بعد ايام اتى تسارع لي في خفقان القلب لكن لا اعراض اخرى مثل ضيق تنفس او شي اخر وعندما انشغل او اكون سعيد انسى انه لدي نبض في حلقي وخفقان لكن عندما اتذكر انه لدي يرجع وانا اقلق وابحث كثيرا في مواقع التواصل ..,['No'],Pseudo-labeling
السلام عليكم انا دائما اخاف علي عائلتي و نفسي من الموت و اذا مرض احد من الأبوين أشعر بالقلق الشديد و دائما اعاني من الكوابيس المزعجه بشأن الموت لا استطيع النوم و لا استطيع الإبتعاد عن عائلتي عندما انام أشعر أني ساستيقظ بدون احدهما هل يوجد حل لهذا الخوف الدائم و القلق عليهما ؟,['Social|Relationship'],Pseudo-labeling
اعاني منذ فتره من نبض في الجهه اليسرى من الراس وعند تحريك عيناي بقوه ايضا اشعر به في الجهه اليسرى وعند اغلاق عيناي بقوه ايضا اشعر به يضرب الاذن اليسرى فقط,['No'],Pseudo-labeling
كنت اشجع رجل يضرب به المثل-الان اصبحت اخاف من الصراعات واتجنبها بشكل كبير-اصبحت الوم ذاتي وضعفت ثقتي،،،واصبح تعاملي لين مع من لا يستحق،،تفكير توتر قلق-عشت حياه مليئه بالصراع,['Social|Relationship'],Pseudo-labeling
عندي خوف وهلع من اي صوت بالبيت اسمعه واحس شعور غريب بجسمي وراسي عند سماع الاصوات والم بالظهر والجسم عامه,['No'],Pseudo-labeling
عندما يذكرني شي ما بالماضي مثلا اغنية او فلم شاهدته سابقآ او قصه سمعته حته طفولتي لااحب ان يذكرني احد اي شي متعلق بلماضي علما طفولتي كانت تخلوا من حنان واهتمام اهل بشكل كبير,['Social|Relationship'],Pseudo-labeling
امر بفترة من الاكتئاب الذي قد يوصف بالحاد مؤخرا . هل عشبة القديسين جيدة لتخفيف التوتر و الاكتئاب بالنسبة لي و هل توجد لها اعراض جانبية كالارهاق و الكسل ام لا و هل يمكن ان اتعاطاها مع الزنك ؟؟؟,['No'],Pseudo-labeling
اعاني من مشكلة اني لا استطيع التواصل مع أشخاص آخرين أشعر بالتوتر و الاختناق ورعشه عند التحدث مع أشخاص جدد والتلعثم في كلامي لا استطيع تكوين صداقات أو حتى طلب الذهاب الي الحمام أثناء الحصة سادخل الجامعة قريبا ومازلت لا استطيع طلب قلم من زميلاتي سمعت ان هذا يسمى بالرهاب الاجتماعي ويحتاج طبيب نفسي,['Social|Relationship'],Pseudo-labeling
اعاني من اكتئاب .. حساسية عالية و اعاني من عقدة الخلقة الاضعف دائما .. لست منهار لدرجة الانتحار ولكنني لست سعيد .. لم يعد لدي قدرة على التعامل مع الناس .. و تحمل اذيتهم اكثر من ذلك,['No'],Pseudo-labeling
اعاني من اضطرابات ف النوم ف المزاج ، و الام ف الرأس و المفاصل،. تعب مرة،. تغيير ف طريقة. التفكير،. اظن انني مصابة باضطراب الشخصية الحدية,['No'],Pseudo-labeling
ماهي الحلول للتخلص من الاكتئاب مع العلم ان استقر فيني فتره طويله جداً,['No'],Pseudo-labeling
اخاف لما اسمع اي صوت مرتفع اخاف ان احد من اسرتي طاح او تأذى ويستمر هذا الخوف والهلع والتوتر وقت طويل الا ان اتاكد ان جميع افراد اسرتي بخير ومافيهم شي,['No'],Pseudo-labeling
منذحوالي سنه بدأت مشكلتي بالتخيلات ناس معي واخوة واصدقاء واتخيل اني اجتماعية جدا وبالواقع والداي متوفيان ولأمتلك أي اخوة والى جانب عقدة من الاصدقاء والخوف من خياناتهم,['Social|Relationship'],Pseudo-labeling
في حقيقة الأمر أني دائما اشعر برغبتي بالبكاء دائما وتكون بدون اي سبب و بنفس الوقت اشعر بنفسي ابكي بالفعل وأشعر بألم في منطقة صدري وقلبي ولكن عندما المس وجهي لاأجد أي دمع ؟!,['No'],Pseudo-labeling
منذوفاة والدتي اصبحت اكره الخروج للغاية واتعصب واحزن جدا من أتفه الاشياء و أتلعثم عند تكلم و ايضا لاأتكلم الا في حالات الضرورية واصبحت منطوية للغاية و دائما اكتم بداخلي بكثرة,['Social|Relationship'],Pseudo-labeling
عندي ارق وصداع من كثرة التفكير وشريك حياتي اللي برتاح في الكلام معاه مش عايز يفهمني ده مخليني عايز اعيط ومخنوق اووي ومش عارف اعمل ايه,['Social|Relationship'],Pseudo-labeling
توترعصبي ونفسي أكتئاب شديد وخاصة عند الاستيقاظ صباحاكره للحياة وتمني الموت قلق وارق خاصة عند محاولة النون نوبات هلع وفزع متقطعة نوب صرع اندفاعية القيام بأيذاء نفسي بادوات حادة,['No'],Pseudo-labeling
اعاني من خوف وخلعة من الحيوانات خصوصا الكباش فهذه العقدة لم اكسرها في صغري وكبرت معي اصبحت اخاف منهم خوف غير مبرر فهم يركضون خوفا مني وانا اركض خوفا منهم ايضا وايضا اصبحت اخاف الكلاب كثيرا من جراء الخلعة فماهو الحل ؟,['No'],Pseudo-labeling
احس برهاب اجتماعي واذا في مناسبه اخاف احضر,['Social|Relationship'],Pseudo-labeling
ما بحس على حالي او بحس حالي بحلم و بس اطلع بخاف و بعرق و بتوتر ما بعرف ازا مو هاد الاشي دخلوا بس انا حاليا حاسه حالي بحلم و و مو حاسه على حالي صلي من صف ٧ وانا بهل حاله وانا هسا طالعه صف عاشر,['No'],Pseudo-labeling
أشعر بالتوتر الشديد. والقلق والاكتئاب حتى اننيافكر في الانتحار احيانا ولو تكلم معي احد حزنت تنتابني نوبه غضب لم أعرف كيف اوصفها,['No'],Pseudo-labeling
مررت بأيام صعبه واصبت الاكتئاب اصبحت حزينه جداً واحب الجلوس بمفردي لم اعد كسابق كنت سعيده جداً,['No'],Pseudo-labeling
تعرضت من عدة سنوات لنوبات هلع نتيجه صدمات نفسيه متتابعه وكنت مدخن فاصبح التدخين يؤلم صدري ويخنقني ويسبب ضيق تنفس فاشتد ضيق التنفس واصبح يوميا مع الشعور بالاكتئاب ذهبت لكثير من الاطباء الاغلب ذهبوا الى اني لا اعاني من مشاكل والحساسيةلدي سببها نفسي كيف اتغلب على المشكلة انا مقبل على الزواج العمر ٢٥ .,['No'],Pseudo-labeling
"ماذا تسمى هذه الحالة علمياً ""شعور بالسعادة او الرضاء عند تخيل موتي او الانتحار""؟",['No'],Pseudo-labeling
"اشعر باني مكتئب وتظهر فيني اعراض
الاحساس ب البكاء بدون سبب
الحزن دون سبب فجاه والرغبه بعدم البقاء باي شي او فعل شي
عدم وجود طاقه لفعل اي شي في اليوم
عدم الرغبه ب الاكل كثيرا",['No'],Pseudo-labeling
انا عندي اصوات و هلاوس سمعيه وبصريه واريد فيتامينات او مكملات تجعلني بحال افضل لي ٨ سنوات مع المرض واعتمد على الادويه النفسيه,['No'],Pseudo-labeling
اضطراب في النوم تخيلات مستقبلية افكار سلبية خمول القلق متبوع باللوم والبكاء كلما سنحت لي الفرصة عدم الرغبة في العيش وعدم تقبل العيش وسط الناس فافضل العزلة,['No'],Pseudo-labeling
في البداية الموضوع ماكان يشدني بتقلباتي المزاجيه كان امر عادي جداً كأي انسان..مره قالت لي امي اني يا أكون سعيده سعاده آذي فيها الي حولي من شدتها يا اكون حزينه جداً,['No'],Pseudo-labeling
"يعطى للمريض الي عنده اكتئاب ، يصنف من النوع القوي؟ لان الجرعة مالته مليغرام20
لو من النوع البسيط وشنو اقوى تأثير اله؟
وعادي يوخذ صباحاً؟",['No'],Pseudo-labeling
حياتي كانت مليانه بالمشاكل م صغري مؤخرًا بقى عندي حب للعزله بشكل رهيب معنديش طاقة ولا نفس اني اسمع حد حتى لو قريب مني حابه افضل 100 سنه مع فوني وافلامي وخلاص بقدم الاهتمام للقريبين مني عشان مضطرة بس، دا غير اني كسوله لدرجه مبالغ فيها،بجوع بشكل رهيب انا محتاجه دكتور نفسي ولا دا طبيعي؟,['Social|Relationship'],Pseudo-labeling
"بعض المرات بكون باقصى مراحل الحزن او ""الأكتئاب"" و مابقدر ابكي رغم اني حزينه داخلياً و حزن شديد معى العلم انه هذه شي قادني الى ايذاء النفس بس عشان احس ب اشي عشان ابكي.",['No'],Pseudo-labeling
انا أخشى الامراض النفسية،اخاف ان اكون مصابة بظطراب الوسواس القهري، اخشى ان اصاب بمرض و لا اجد علاجه، اخشى من ذلك بشدة انا خائف جدا و متوتر هلى هذا وسواس قهري ام قلق مرضي,['No'],Pseudo-labeling
الدوره الشهريه غير منتظمه ويوجد ارق وعدم النوم 4 يوم لم انام ممكن استخدمت سونجا نايت ومافي فائده اريد اجرب نايت باكس ماذا تنصحني,['No'],Pseudo-labeling
"احد اقاربى يعانى من مرض نفسى أو ذهنى. الاطباء الذين تابعوه لم يتفقوا على تشخيص. حالته تسوء. و هذه الاعراض الظاهرة: عنيف, يكرر الكلام كثيرا, يضحك بلا سبب و بمبالغة, منعزل(لا يخرج من البيت), يفرط فى الطعام, لا يهتم بنظافته. ما تشخيص هذه الاعراض؟ و هل يمكن ان يؤذى احدا؟",['Social|Relationship'],Pseudo-labeling
قلق دايم وقله نوم وصداع تغيير بالمزاج عصبيه دايمه تعب دايم وخمول,['No'],Pseudo-labeling
انا دائما اشعر بالقلق والتوتر بدون اي سبب مع الناس و عائلتي حتى امي واخواتي لم اعرف اين السبب والغضب الشديد,['Social|Relationship'],Pseudo-labeling
السلام عليكم، اعاني من سنوات بمشاكل واضطرابات بالنوم ومنها شلل النوم مع هلاوس سمعيه واسمع اصوات غير مفهومه واشعر ان احد يلامس جسدي ولكن لا استطيع رؤيته والمشكله ليست دينيه,['No'],Pseudo-labeling
كنت مرتبط ببنت سنه ونص واكتشتفت انها بتخوني وبتحب حد تاني وف علاقة قبلها اقل من سنه حصل نفس الموضوع,['Social|Relationship'],Pseudo-labeling
عندي تقلب مزاج من كنت صغيره وقلق مزمن ويوم كبرت زاد وصار عندي زياده تشتت انتبها وحركات لاارديه,['No'],Pseudo-labeling
عندما انام على خدي الايمن وعندما اغفو في النوم مباشرة اسمع اصوات مزعجة توقظني من النوم واذا نمت على الجانب الايسر لم يحدث هذا. وهذه الاصوات اشبة بالضرب على الكرسي او صفع الخد.,['No'],Pseudo-labeling
انا عندي ١٦ سنه بقالي ٧ سنين عندي متلازمه شد الشعر مكنتش اعرف كنت فاكره شعري بيقع عادي الموضوع بقي هوس بعمل كده طول الوقت وانا سرحانه وانا متوتره او مضايقه,['No'],Pseudo-labeling
اختي تلمح بانها مقبلة على الانحار و كنا نتكلم في النوضوع عادي و احيانا نمزح لكن ما احس الموضوع صار مزحة بسبب وجهها العبوس و صوتها و احتاج اي طريقه لايقاف ذلك,['No'],Pseudo-labeling
قبل ترك التدخين كنت اصاب بحرقان وضيق تنفس والم مع كل نفس فتركته ، حاليا اعاني من الم خفيف وضيق تنفس خفيف نابع من الجهه اليمنى يزداد احيانا مع المجهود مع العلم اعاني من اضطراب القلق وعاينت سابقا من نوبات هلع . اجريت فحوصات ايكو وصورة مقطعيه صبغه وتخطيط وفحص جهد وصور صدر لا اعاني من سعال ولابلغم٢٥سنه,['No'],Pseudo-labeling
فحاءه عند النوم تجيني هاي النوبه والخوف ولقلق شفت شي مرعب من جنت صغيره ورافقني هلشي شلون اكدر اتخلص من عنده,['No'],Pseudo-labeling
